id,data,produto,categoria,quantidade,pagamento,preco_unitario
233,2023-07-02,Verga Metálica,Construção e Estrutura,38.0,Pix,119.0
234,2023-01-03,Torneira,Hidráulica,481.0,Boleto,79.0
235,2023-05-03,Adubo,Jardinagem,461.0,Carteira Digital,49.9
236,2023-07-23,Torneira,Hidráulica,239.0,Pix,79.0
237,2023-07-12,Conexão T,Hidráulica,456.0,Pix,7.9
238,2023-11-28,Capacete,Segurança e EPI,28.0,Transferência Bancária,49.9
239,2023-07-20,Fio Elétrico,Elétrica,349.0,Pix,3.5
240,2023-12-10,Óculos de Proteção,Segurança e EPI,232.0,Crédito,24.9
241,2023-11-21,Tinta Acrílica,Tintas e Acabamento,294.0,Dinheiro,249.0
242,2023-05-04,Luva de Proteção,Segurança e EPI,35.0,Pix,19.9
243,2023-02-05,Óculos de Proteção,Segurança e EPI,223.0,Carteira Digital,24.9
244,2023-01-28,Pincel,Tintas e Acabamento,402.0,Crédito,12.9
245,2023-08-14,Trena,Ferramentas,109.0,Débito,32.0
246,2023-08-30,Rolo de Pintura,Tintas e Acabamento,484.0,Dinheiro,24.9
247,2023-12-17,Tomada,Elétrica,270.0,Pix,9.9
248,2023-03-02,Óculos de Proteção,Segurança e EPI,440.0,Dinheiro,24.9
249,2023-04-12,Parafusadeira,Ferramentas,360.0,Transferência Bancária,429.0
250,2023-01-09,Alicate,Ferramentas,245.0,Crédito,41.9
251,2023-09-30,Máscara Respiratória,Segurança e EPI,487.0,Carteira Digital,29.9
252,2023-01-23,Capacete,Segurança e EPI,429.0,Boleto,49.9
253,2023-12-08,Colete Reflexivo,Segurança e EPI,470.0,Dinheiro,39.9
254,2023-03-24,Argamassa,Construção e Estrutura,377.0,Débito,24.9
255,2023-03-12,Sementes de Grama,Jardinagem,328.0,Crédito,19.9
256,2023-03-22,Caixa de água,Hidráulica,319.0,Transferência Bancária,799.0
257,2023-07-07,Tinta Acrílica,Tintas e Acabamento,5.0,Boleto,249.0
258,2023-10-24,Luva de Proteção,Segurança e EPI,139.0,Dinheiro,19.9
259,2023-07-21,Verniz,Tintas e Acabamento,318.0,Pix,139.9
260,2023-06-12,Lâmpada LED,Elétrica,169.0,Carteira Digital,14.9
261,2023-07-14,Lixa,Tintas e Acabamento,236.0,Transferência Bancária,4.9
262,2023-08-22,Adubo,Jardinagem,187.0,Boleto,49.9
263,2023-12-02,Adubo,Jardinagem,354.0,Transferência Bancária,
264,2023-05-04,Torneira,Hidráulica,496.0,Boleto,79.0
265,2023-08-01,Enxada,Jardinagem,95.0,Carteira Digital,89.9
266,2023-02-10,Bloco de Concreto,Construção e Estrutura,18.0,Transferência Bancária,6.0
267,2023-03-02,Lâmpada LED,Elétrica,311.0,Débito,14.9
268,2023-08-26,Colete Reflexivo,Segurança e EPI,128.0,Débito,39.9
269,2023-03-10,Sementes de Grama,Jardinagem,159.0,Dinheiro,19.9
270,2023-01-02,Chave de Fenda,,157.0,Débito,24.5
271,2023-11-19,Enxada,Jardinagem,31.0,Pix,89.9
272,2023-09-17,Tomada,Elétrica,87.0,Dinheiro,9.9
273,2023-09-27,Cimento,Construção e Estrutura,499.0,Boleto,39.9
274,2023-03-10,Adubo,Jardinagem,232.0,Carteira Digital,49.9
275,2023-12-18,Areia,Construção e Estrutura,218.0,Boleto,14.9
276,2023-05-09,Verga Metálica,Construção e Estrutura,203.0,Débito,119.0
277,2023-05-17,Adubo,Jardinagem,466.0,Boleto,49.9
278,2023-04-25,Tijolo,Construção e Estrutura,243.0,Pix,2.0
279,2023-12-14,Botina,Segurança e EPI,69.0,Boleto,149.0
280,2023-05-27,Enxada,Jardinagem,114.0,Carteira Digital,89.9
281,2023-10-22,Argamassa,Construção e Estrutura,72.0,Crédito,24.9
282,2023-04-20,,Elétrica,139.0,Dinheiro,59.9
283,2023-12-13,Colete Reflexivo,Segurança e EPI,418.0,Transferência Bancária,39.9
284,2023-08-25,Interruptor,Elétrica,368.0,Dinheiro,12.9
285,2023-11-04,Lixadeira,Ferramentas,229.0,Carteira Digital,389.0
286,2023-10-11,Serrote,Ferramentas,244.0,Transferência Bancária,64.9
287,2023-01-17,Capacete,Segurança e EPI,119.0,Boleto,49.9
288,2023-07-16,Chave de Fenda,Ferramentas,145.0,Boleto,24.5
289,,Telha Cerâmica,Construção e Estrutura,421.0,Pix,7.9
290,2023-01-27,Verga Metálica,Construção e Estrutura,422.0,Dinheiro,119.0
291,2023-12-01,Extensão,Elétrica,401.0,Carteira Digital,39.9
292,2023-11-26,Pá,Jardinagem,467.0,Transferência Bancária,74.9
293,2023-01-24,Tesoura de Poda,Jardinagem,298.0,Boleto,59.9
294,2023-05-04,Tomada,Elétrica,494.0,Transferência Bancária,9.9
295,2023-03-20,Lanterna,Elétrica,109.0,Crédito,59.9
296,2023-05-07,Interruptor,,357.0,Dinheiro,12.9
297,2023-11-18,Trena,Ferramentas,137.0,Débito,32.0
298,2023-06-01,Pá,Jardinagem,284.0,Carteira Digital,74.9
299,2023-09-16,Registro de Água,Hidráulica,65.0,Pix,54.9
300,2023-09-13,Rolo de Pintura,Tintas e Acabamento,200.0,Débito,24.9
301,2023-05-30,Pincel,Tintas e Acabamento,364.0,Crédito,12.9
302,2023-01-21,Extensão,Elétrica,247.0,Transferência Bancária,39.9
303,2023-02-21,Adubo,Jardinagem,393.0,Débito,49.9
304,2023-07-30,Botina,Segurança e EPI,276.0,Transferência Bancária,149.0
305,2023-05-05,Pilha,Elétrica,16.0,Crédito,6.9
306,2023-03-06,Tesoura de Poda,Jardinagem,296.0,Crédito,59.9
307,2023-09-27,Telha Cerâmica,Construção e Estrutura,171.0,Dinheiro,7.9
308,2023-03-25,Massa Corrida,Tintas e Acabamento,38.0,Carteira Digital,89.9
309,2023-06-12,Regador,Jardinagem,285.0,Carteira Digital,39.9
310,2023-05-06,Pincel,Tintas e Acabamento,173.0,Boleto,12.9
311,2023-12-19,Mangueira Jardim,Jardinagem,453.0,Débito,69.9
312,2023-01-12,Colete Reflexivo,Segurança e EPI,295.0,Crédito,39.9
313,2023-06-27,Parafusadeira,Ferramentas,79.0,Boleto,429.0
314,2023-02-02,Luva de Proteção,Segurança e EPI,122.0,Carteira Digital,19.9
315,2023-06-12,Interruptor,Elétrica,331.0,Dinheiro,12.9
316,2023-01-15,Pincel,Tintas e Acabamento,398.0,Débito,12.9
317,2023-03-09,Interruptor,Elétrica,394.0,Débito,12.9
318,2023-04-13,Mangueira,Hidráulica,364.0,Crédito,59.0
319,2023-08-24,Registro de Água,Hidráulica,368.0,Transferência Bancária,54.9
320,2023-05-07,Serrote,Ferramentas,362.0,Transferência Bancária,64.9
321,2023-05-02,Pá,Jardinagem,205.0,Crédito,74.9
322,2023-01-27,Interruptor,Elétrica,148.0,Transferência Bancária,12.9
323,2023-07-20,Adubo,Jardinagem,186.0,Transferência Bancária,49.9
324,2023-04-14,Válvula de Descarga,Hidráulica,477.0,Crédito,119.0
325,2023-02-03,Serrote,,414.0,Transferência Bancária,64.9
326,2023-06-26,Disjuntor,Elétrica,331.0,Crédito,45.0
327,2023-09-15,Lixadeira,Ferramentas,312.0,Crédito,389.0
328,2023-05-09,Alicate,Ferramentas,29.0,Pix,41.9
329,2023-12-30,Pá,Jardinagem,426.0,Boleto,74.9
330,2023-11-05,Pincel,Tintas e Acabamento,406.0,Transferência Bancária,12.9
331,2023-12-11,Caixa de água,,174.0,Transferência Bancária,799.0
332,2023-07-02,Serrote,Ferramentas,76.0,Dinheiro,64.9
333,2023-02-22,Luva de Proteção,Segurança e EPI,307.0,Dinheiro,19.9
334,2023-09-21,Bomba de água,Hidráulica,204.0,Pix,899.0
335,2023-06-14,Máscara Respiratória,Segurança e EPI,127.0,Carteira Digital,29.9
336,2023-04-25,Parafusadeira,Ferramentas,273.0,Carteira Digital,429.0
337,2023-11-16,Cano PVC,Hidráulica,137.0,Crédito,29.9
338,2023-12-01,Selador,Tintas e Acabamento,157.0,Dinheiro,99.9
339,2023-08-29,Extensão,Elétrica,408.0,Pix,39.9
340,2023-03-30,Lixa,Tintas e Acabamento,230.0,Pix,4.9
341,2023-06-09,Pincel,Tintas e Acabamento,266.0,Carteira Digital,12.9
342,2023-12-13,Rolo de Pintura,Tintas e Acabamento,222.0,Dinheiro,24.9
343,2023-10-03,Mangueira Jardim,Jardinagem,278.0,Carteira Digital,69.9
344,2023-06-25,Bomba de água,Hidráulica,45.0,Crédito,899.0
345,2023-09-09,Martelo,Ferramentas,364.0,Pix,79.9
346,2023-08-14,Verga Metálica,Construção e Estrutura,93.0,Pix,119.0
347,2023-06-25,Sementes de Grama,Jardinagem,65.0,Pix,19.9
348,2023-10-07,Parafusadeira,Ferramentas,387.0,Carteira Digital,429.0
349,2023-11-14,Capacete,Segurança e EPI,347.0,Carteira Digital,49.9
350,2023-02-07,Brita,Construção e Estrutura,330.0,Débito,17.9
351,2023-10-02,Disjuntor,Elétrica,147.0,Pix,45.0
352,2023-06-19,Adubo,Jardinagem,333.0,Crédito,49.9
353,2023-09-17,Registro de Água,Hidráulica,387.0,Carteira Digital,54.9
354,2023-05-18,Argamassa,Construção e Estrutura,441.0,Boleto,24.9
355,2023-12-08,Disjuntor,Elétrica,154.0,Débito,45.0
356,2023-10-13,Extensão,Elétrica,300.0,Carteira Digital,39.9
357,2023-01-24,Registro de Água,Hidráulica,433.0,Dinheiro,54.9
358,2023-07-04,Sementes de Grama,Jardinagem,137.0,Boleto,19.9
359,2023-03-03,Telha Cerâmica,Construção e Estrutura,488.0,Débito,7.9
360,2023-01-12,Extensão,Elétrica,86.0,Boleto,39.9
361,2023-09-29,Fio Elétrico,Elétrica,209.0,Dinheiro,3.5
362,2023-09-15,Torneira,Hidráulica,468.0,Dinheiro,79.0
363,2023-03-28,Rolo de Pintura,Tintas e Acabamento,77.0,Transferência Bancária,24.9
364,,Torneira,Hidráulica,246.0,Pix,79.0
365,2023-04-30,Lâmpada LED,Elétrica,1.0,Carteira Digital,14.9
366,2023-03-05,Tijolo,Construção e Estrutura,345.0,Pix,2.0
367,2023-11-03,Adubo,Jardinagem,311.0,Dinheiro,49.9
368,2023-01-30,Torneira,Hidráulica,20.0,Boleto,79.0
369,2023-05-31,Válvula de Descarga,Hidráulica,340.0,Crédito,119.0
