ID,Data,Produto,Categoria,Quantidade,Preço,Pagamento
183,2023-10-19,Mouse,Móveis de Escritório,4.0,3891.59,Pix
184,2023-04-20,Teclado,,3.0,3807.94,Boleto
185,2023-04-03,Smartphone,Periféricos,8.0,1950.92,Boleto
186,2023-03-21,Cadeira Gamer,Acessórios,8.0,3354.73,Crédito
187,2023-09-21,Smartphone,Móveis de Escritório,7.0,2292.66,Crédito
188,2023-06-28,Mouse,Acessórios,9.0,4691.11,Crédito
189,,Fone de Ouvido,Informática,3.0,2346.08,Dinheiro
190,2023-12-14,Mouse,Informática,6.0,581.92,Pix
191,2023-09-12,Mouse,Móveis de Escritório,9.0,993.7,Boleto
192,2023-07-28,Monitor,Móveis de Escritório,8.0,277.27,
193,2023-12-05,Mouse,Móveis de Escritório,1.0,2219.85,Pix
194,2023-07-01,Notebook,Móveis de Escritório,2.0,1295.21,Boleto
195,2023-10-18,Mouse,Acessórios,,,Boleto
196,2023-06-10,Mouse,Acessórios,4.0,401.03,Crédito
197,2023-04-04,Cadeira Gamer,Acessórios,1.0,84.21,Boleto
198,2023-10-22,Teclado,Móveis de Escritório,4.0,1163.44,Débito
199,2023-10-13,Notebook,Periféricos,3.0,3947.82,Crédito
200,2023-05-27,Teclado,Informática,6.0,3614.75,Boleto
201,2023-08-20,Cadeira Gamer,Informática,1.0,2923.79,Boleto
202,2023-08-03,Mouse,Informática,,3888.09,Boleto
203,2023-09-14,Smartphone,Acessórios,1.0,4740.84,Débito
204,2023-02-19,Cadeira Gamer,Periféricos,7.0,4472.64,Crédito
205,2023-05-07,,Informática,9.0,2225.38,Dinheiro
206,2023-10-31,Cadeira Gamer,Móveis de Escritório,2.0,1071.85,Boleto
207,2023-12-09,Mouse,Acessórios,7.0,3537.75,Boleto
208,,Notebook,Acessórios,1.0,3923.55,Crédito
209,2023-04-06,Fone de Ouvido,Informática,9.0,2170.35,Crédito
210,2023-11-02,Mouse,Móveis de Escritório,1.0,3060.58,Boleto
211,2023-01-25,Smartphone,Móveis de Escritório,2.0,4371.71,Dinheiro
212,2023-11-25,Mouse,Acessórios,,4582.91,Crédito
213,2023-05-29,Fone de Ouvido,Informática,2.0,1479.41,
214,2023-06-14,Mouse,Periféricos,8.0,733.46,Boleto
215,2023-11-27,Impressora,Acessórios,7.0,2443.0,Débito
216,2023-02-27,Smartphone,Acessórios,1.0,4407.67,Crédito
217,2023-11-25,Fone de Ouvido,Informática,7.0,4033.54,Débito
218,2023-07-07,Teclado,Acessórios,7.0,88.66,Crédito
219,2023-01-23,Mouse,Informática,2.0,3325.62,Crédito
220,2023-10-14,Monitor,Móveis de Escritório,6.0,4835.58,Pix
221,2023-08-27,Cadeira Gamer,Móveis de Escritório,1.0,3046.36,Boleto
222,2023-09-20,Mouse,Informática,1.0,1938.79,
223,2023-06-28,Fone de Ouvido,Acessórios,3.0,860.45,Boleto
224,2023-07-08,Monitor,Móveis de Escritório,5.0,3078.78,Dinheiro
225,2023-09-30,Notebook,Periféricos,8.0,3248.46,Pix
226,2023-12-16,Fone de Ouvido,Acessórios,3.0,3055.57,Dinheiro
227,2023-12-16,Impressora,Móveis de Escritório,5.0,3770.63,Débito
228,2023-01-16,,Informática,3.0,891.63,Boleto
229,2023-07-12,Fone de Ouvido,Móveis de Escritório,7.0,78.01,Boleto
230,2023-05-29,Mouse,Informática,9.0,4934.08,Boleto
231,2023-11-26,Teclado,Informática,9.0,1315.3,Boleto
232,2023-05-22,Teclado,Informática,4.0,2603.32,
233,2023-07-02,Mouse,Móveis de Escritório,1.0,4233.26,Boleto
234,2023-01-03,Monitor,Periféricos,8.0,314.59,Pix
235,2023-05-03,Monitor,Informática,1.0,4403.9,Crédito
236,2023-07-23,Cadeira Gamer,Móveis de Escritório,2.0,3135.33,Dinheiro
237,2023-07-12,Impressora,Acessórios,5.0,1639.75,Boleto
238,2023-11-28,Fone de Ouvido,Móveis de Escritório,4.0,2048.7,Débito
239,2023-07-20,Notebook,Acessórios,2.0,2108.21,
240,2023-12-10,Monitor,Informática,9.0,884.87,Boleto
241,2023-11-21,Impressora,Informática,1.0,4072.37,Débito
242,2023-05-04,Cadeira Gamer,Periféricos,1.0,2483.69,Boleto
243,2023-02-05,Teclado,Periféricos,9.0,1329.63,Dinheiro
244,2023-01-28,Monitor,Informática,,488.16,Boleto
245,2023-08-14,Cadeira Gamer,Periféricos,7.0,2802.56,Crédito
246,2023-08-30,Fone de Ouvido,Móveis de Escritório,7.0,3818.7,Crédito
247,2023-12-17,Mouse,Móveis de Escritório,,2092.63,Débito
248,2023-03-02,Impressora,Acessórios,3.0,1218.73,Débito
249,2023-04-12,Smartphone,Periféricos,4.0,3001.25,Dinheiro
250,2023-01-09,Monitor,Móveis de Escritório,1.0,4588.77,Boleto
251,2023-09-30,Teclado,Acessórios,3.0,2374.6,Débito
252,2023-01-23,Fone de Ouvido,Acessórios,9.0,604.17,Boleto
253,2023-12-08,Cadeira Gamer,Periféricos,1.0,4148.69,Boleto
254,2023-03-24,Cadeira Gamer,Acessórios,7.0,4461.85,Pix
255,2023-03-12,Monitor,Informática,9.0,596.03,Crédito
256,2023-03-22,Impressora,Móveis de Escritório,1.0,2187.01,Crédito
257,2023-07-07,Monitor,Periféricos,7.0,4394.47,Débito
258,2023-10-24,,Informática,,2670.07,Dinheiro
259,2023-07-21,Notebook,Informática,4.0,2479.71,Pix
260,2023-06-12,Cadeira Gamer,Informática,3.0,2995.93,Pix
261,2023-07-14,Impressora,Periféricos,2.0,3643.11,Dinheiro
262,2023-08-22,Monitor,Móveis de Escritório,4.0,3057.1,Débito
263,2023-12-02,Mouse,Informática,7.0,3683.62,Crédito
264,2023-05-04,Fone de Ouvido,Informática,3.0,1263.5,Dinheiro
265,2023-08-01,Notebook,Móveis de Escritório,3.0,3841.47,Crédito
266,2023-02-10,Teclado,Móveis de Escritório,2.0,3170.04,Boleto
267,2023-03-02,Mouse,Informática,7.0,2861.37,Débito
268,2023-08-26,Smartphone,Acessórios,5.0,2780.5,Débito
269,2023-03-10,Cadeira Gamer,Informática,4.0,1680.46,Débito
270,2023-01-02,Impressora,Móveis de Escritório,3.0,1960.73,Boleto
271,2023-11-19,,Móveis de Escritório,9.0,4313.93,Boleto
272,2023-09-17,Impressora,Informática,2.0,1341.8,Pix
273,2023-09-27,Cadeira Gamer,Móveis de Escritório,1.0,2158.5,Dinheiro
274,2023-03-10,Impressora,,2.0,3124.73,Dinheiro
275,2023-12-18,Monitor,Informática,7.0,3118.8,Crédito
276,2023-05-09,Impressora,Informática,3.0,1509.13,Crédito
277,2023-05-17,Impressora,Móveis de Escritório,1.0,2337.94,Pix
278,2023-04-25,Mouse,,,623.84,Dinheiro
279,2023-12-14,Cadeira Gamer,Periféricos,2.0,344.29,Débito
280,2023-05-27,Smartphone,Móveis de Escritório,,306.76,Dinheiro
281,2023-10-22,Mouse,Móveis de Escritório,8.0,2580.09,Crédito
282,2023-04-20,Smartphone,Móveis de Escritório,5.0,1967.12,Crédito
283,2023-12-13,Mouse,Acessórios,7.0,1811.96,Dinheiro
284,2023-08-25,Monitor,Móveis de Escritório,3.0,3414.35,Pix
285,,Smartphone,Acessórios,9.0,3463.51,Dinheiro
286,2023-10-11,,Periféricos,6.0,4194.03,Boleto
287,2023-01-17,Mouse,Acessórios,9.0,308.07,Débito
288,2023-07-16,Smartphone,Informática,1.0,1859.5,
289,2023-10-08,Cadeira Gamer,Acessórios,9.0,4590.94,Boleto
290,2023-01-27,Monitor,Móveis de Escritório,8.0,2345.16,Dinheiro
291,2023-12-01,,Acessórios,1.0,2925.29,Pix
292,2023-11-26,Impressora,Acessórios,9.0,1375.37,Boleto
293,2023-01-24,Notebook,Informática,1.0,1168.48,Dinheiro
294,2023-05-04,Monitor,Periféricos,6.0,3795.22,Boleto
295,2023-03-20,Fone de Ouvido,Móveis de Escritório,4.0,945.13,Crédito
296,2023-05-07,Notebook,Móveis de Escritório,7.0,1882.72,Dinheiro
297,,Mouse,Acessórios,9.0,2567.62,Crédito
298,2023-06-01,Smartphone,Informática,3.0,2381.26,Crédito
299,2023-09-16,Fone de Ouvido,Periféricos,7.0,2451.18,Pix
300,2023-09-13,Monitor,,5.0,2929.53,Boleto
301,2023-05-30,Monitor,Acessórios,5.0,3796.51,Débito
302,2023-01-21,Monitor,Acessórios,,4884.94,Dinheiro
303,2023-02-21,Notebook,Móveis de Escritório,8.0,2959.96,Débito
304,2023-07-30,Teclado,,9.0,2832.23,Crédito
305,2023-05-05,Notebook,Acessórios,9.0,1490.33,Boleto
306,2023-03-06,Cadeira Gamer,Móveis de Escritório,7.0,4083.11,Dinheiro
307,2023-09-27,Teclado,Informática,1.0,353.0,Crédito
308,2023-03-25,Impressora,Acessórios,5.0,4161.35,Crédito
309,2023-06-12,Notebook,Informática,8.0,3599.61,Crédito
310,2023-05-06,Monitor,Periféricos,5.0,1528.1,Débito
311,2023-12-19,Teclado,Acessórios,2.0,2774.68,Dinheiro
312,2023-01-12,Cadeira Gamer,Móveis de Escritório,2.0,3245.8,Dinheiro
313,2023-06-27,Cadeira Gamer,Periféricos,9.0,2246.36,Pix
314,2023-02-02,,Acessórios,7.0,564.82,Pix
315,2023-06-12,Fone de Ouvido,Móveis de Escritório,9.0,2702.72,Crédito
316,2023-01-15,Monitor,Informática,4.0,1874.53,Pix
317,2023-03-09,Monitor,Informática,6.0,1695.44,Pix
318,2023-04-13,Monitor,Acessórios,2.0,2493.45,
319,2023-08-24,Impressora,Periféricos,9.0,4162.29,Crédito
320,2023-05-07,Impressora,Acessórios,7.0,906.19,Crédito
321,2023-05-02,,Acessórios,8.0,4450.14,Débito
322,2023-01-27,Mouse,Informática,9.0,1971.59,Débito
323,2023-07-20,Fone de Ouvido,Acessórios,3.0,1107.17,Boleto
324,2023-04-14,Smartphone,Periféricos,5.0,518.4,Pix
325,2023-02-03,Fone de Ouvido,Móveis de Escritório,1.0,3252.21,Dinheiro
326,2023-06-26,Teclado,Informática,3.0,960.14,Crédito
327,,Cadeira Gamer,Periféricos,4.0,4318.79,Crédito
328,2023-05-09,Smartphone,Móveis de Escritório,5.0,4056.05,Débito
329,2023-12-30,Monitor,,3.0,1554.68,Crédito
330,2023-11-05,Teclado,Informática,5.0,1266.55,Boleto
331,2023-12-11,Smartphone,Móveis de Escritório,5.0,1661.98,Dinheiro
332,,Monitor,,7.0,758.39,Dinheiro
333,2023-02-22,,Periféricos,4.0,2602.34,Pix
334,,Mouse,Informática,4.0,657.09,Dinheiro
335,2023-06-14,,Periféricos,5.0,2828.44,Crédito
336,2023-04-25,Monitor,Móveis de Escritório,8.0,286.2,Dinheiro
337,2023-11-16,Smartphone,Periféricos,3.0,2366.31,Pix
338,2023-12-01,Fone de Ouvido,Móveis de Escritório,4.0,2677.25,Dinheiro
339,2023-08-29,Fone de Ouvido,Móveis de Escritório,6.0,3478.78,Crédito
340,2023-03-30,Teclado,Periféricos,4.0,2735.51,Boleto
341,,Mouse,Acessórios,4.0,1722.1,Débito
342,2023-12-13,Teclado,Periféricos,6.0,1579.95,Débito
343,2023-10-03,Impressora,Informática,3.0,1585.2,Crédito
344,2023-06-25,Notebook,Móveis de Escritório,1.0,3723.85,Pix
345,,Notebook,Periféricos,8.0,4937.58,Dinheiro
346,2023-08-14,Monitor,Periféricos,3.0,2168.47,Crédito
347,2023-06-25,Cadeira Gamer,,8.0,476.16,Crédito
348,2023-10-07,Fone de Ouvido,Móveis de Escritório,5.0,2232.2,Pix
349,2023-11-14,Cadeira Gamer,Acessórios,2.0,4860.74,Crédito
350,2023-02-07,Smartphone,Móveis de Escritório,9.0,1410.45,Boleto
351,,Fone de Ouvido,Periféricos,7.0,970.61,Pix
352,2023-06-19,Fone de Ouvido,Móveis de Escritório,3.0,1068.87,Débito
353,2023-09-17,Monitor,Acessórios,2.0,4897.5,Pix
354,2023-05-18,Teclado,Informática,1.0,3363.45,Débito
355,2023-12-08,Monitor,Periféricos,4.0,4791.57,Pix
356,2023-10-13,Notebook,Informática,4.0,1128.14,Dinheiro
357,2023-01-24,Mouse,Móveis de Escritório,9.0,2835.46,Débito
358,2023-07-04,Mouse,Acessórios,8.0,3618.99,Débito
359,2023-03-03,Smartphone,,2.0,4453.37,Débito
360,2023-01-12,Mouse,Móveis de Escritório,7.0,3274.1,Pix
361,2023-09-29,Monitor,Acessórios,7.0,1338.29,Boleto
362,2023-09-15,Mouse,Informática,5.0,3206.22,Crédito
363,2023-03-28,Notebook,Móveis de Escritório,7.0,360.81,Crédito
364,2023-05-23,Smartphone,Periféricos,1.0,4994.65,Crédito
365,2023-04-30,Teclado,,9.0,4139.79,
366,2023-03-05,Notebook,Acessórios,5.0,131.23,Dinheiro
367,2023-11-03,Notebook,Informática,2.0,1972.56,
368,,Cadeira Gamer,Acessórios,5.0,3082.38,Boleto
369,2023-05-31,Fone de Ouvido,Informática,6.0,2016.03,Pix
370,2023-10-27,Notebook,Periféricos,3.0,1384.72,Boleto
371,2023-07-09,Teclado,,3.0,2331.01,Dinheiro
372,2023-08-26,Monitor,Acessórios,4.0,4096.59,Crédito
373,2023-01-15,Fone de Ouvido,Acessórios,4.0,4624.83,Crédito
374,2023-02-03,Notebook,,,2413.94,Boleto
375,2023-02-13,Notebook,Acessórios,6.0,3569.79,Crédito
376,2023-05-12,Impressora,Periféricos,9.0,4276.43,
377,2023-12-01,Smartphone,Móveis de Escritório,5.0,2894.86,
378,2023-07-26,Teclado,Informática,1.0,1415.83,Boleto
379,2023-06-20,Teclado,Periféricos,3.0,1594.46,Débito
380,2023-02-01,Monitor,Móveis de Escritório,9.0,2247.95,Dinheiro
381,2023-05-21,Mouse,Informática,6.0,2767.63,Crédito
382,2023-11-01,Notebook,Acessórios,6.0,3524.56,Pix
383,2023-03-12,Monitor,,7.0,3371.21,Crédito
384,2023-10-31,Notebook,Periféricos,3.0,4423.73,Boleto
385,2023-08-17,Teclado,Informática,3.0,2252.18,Crédito
386,2023-06-12,Fone de Ouvido,Periféricos,5.0,3486.67,Dinheiro
387,2023-05-20,Smartphone,Informática,4.0,2948.63,Pix
388,,Fone de Ouvido,Móveis de Escritório,7.0,2483.69,Boleto
389,2023-08-17,Notebook,Móveis de Escritório,2.0,3975.04,Dinheiro
390,2023-06-28,Cadeira Gamer,Acessórios,5.0,2208.62,Pix
391,2023-12-17,Monitor,Móveis de Escritório,8.0,928.2,Dinheiro
392,2023-02-21,Fone de Ouvido,Móveis de Escritório,1.0,4295.24,Débito
393,2023-11-24,Fone de Ouvido,Periféricos,5.0,2710.44,Crédito
394,2023-11-21,Mouse,Acessórios,2.0,3012.4,Débito
395,2023-10-22,Teclado,Informática,5.0,3832.21,Boleto
396,2023-01-06,Smartphone,Móveis de Escritório,6.0,272.17,Boleto
397,2023-12-05,Smartphone,Informática,8.0,,Dinheiro
398,2023-12-24,Monitor,,,4721.44,Dinheiro
399,2023-02-28,Mouse,Móveis de Escritório,5.0,4598.88,Dinheiro
400,2023-11-03,Monitor,Periféricos,7.0,3469.32,Crédito
401,2023-12-29,Teclado,Acessórios,3.0,127.05,Boleto
402,2023-04-09,,Informática,2.0,4103.37,Boleto
403,2023-02-02,Teclado,,5.0,4086.09,Dinheiro
404,2023-08-02,Monitor,Informática,9.0,2517.41,Dinheiro
405,2023-12-23,Fone de Ouvido,Móveis de Escritório,3.0,,Boleto
